PLAYER_ID,PLAYER_NAME,FG3M,FG3A,FG3_PCT,GP,MIN,SEASON
2408,Melvin Ely,0,2,0.0,57,1348.05,2005-06
1720,Michael Doleac,0,0,0.0,31,371.1383333333333,2005-06
1709,Michael Olowokandi,0,0,0.0,48,918.3133333333334,2005-06
1913,Michael Ruffin,0,2,0.0,76,1010.0783333333334,2005-06
1630,Mikki Moore,0,2,0.0,47,583.1016666666667,2005-06
1737,Nazr Mohammed,0,0,0.0,80,1389.1183333333333,2005-06
2420,Nenad Krstic,1,4,0.25,80,2469.335,2005-06
2403,Nene,0,0,0.0,1,2.55,2005-06
2555,Nick Collison,0,3,0.0,66,1448.045,2005-06
970,Othella Harrington,0,0,0.0,72,823.8333333333334,2005-06
136,P.J. Brown,0,0,0.0,75,2380.201666666667,2005-06
2776,Pape Sow,0,0,0.0,42,589.7133333333334,2005-06
2469,Pat Burke,2,7,0.286,42,346.0466666666667,2005-06
2750,Pavel Podkolzin,0,0,0.0,1,18.066666666666666,2005-06
2056,Primoz Brezec,0,2,0.0,79,2165.403333333333,2005-06
2737,Rafael Araujo,0,1,0.0,52,600.8033333333333,2005-06
1725,Rasho Nesterovic,0,2,0.0,80,1515.0883333333334,2005-06
109,Robert Horry,53,144,0.368,63,1181.7466666666667,2005-06
2741,Robert Swift,0,0,0.0,47,986.5516666666666,2005-06
101156,Robert Whaley,0,0,0.0,23,211.83,2005-06
2223,Samuel Dalembert,0,1,0.0,66,1760.73,2005-06
1513,Scot Pollard,0,0,0.0,45,771.3883333333333,2005-06
1752,Sean Marks,0,3,0.0,25,180.625,2005-06
406,Shaquille O'Neal,0,0,0.0,59,1805.7283333333332,2005-06
2212,Steven Hunter,0,0,0.0,69,1312.2966666666666,2005-06
2242,Terence Morris,0,2,0.0,22,191.9,2005-06
689,Theo Ratliff,0,0,0.0,55,1301.3083333333334,2005-06
1495,Tim Duncan,2,5,0.4,80,2783.758333333333,2005-06
1499,Tony Battie,0,6,0.0,82,2215.008333333333,2005-06
2199,Tyson Chandler,0,1,0.0,79,2120.74,2005-06
958,Vitaly Potapenko,0,0,0.0,33,352.72,2005-06
2397,Yao Ming,0,1,0.0,57,1948.96,2005-06
2560,Zarko Cabarkapa,5,20,0.25,61,505.435,2005-06
2585,Zaza Pachulia,0,2,0.0,78,2451.955,2005-06
1442,Zeljko Rebraca,0,0,0.0,29,412.40833333333336,2005-06
1985,Zendon Hamilton,0,0,0.0,12,48.45333333333333,2005-06
980,Zydrunas Ilgauskas,0,5,0.0,78,2283.1466666666665,2005-06
1425,Aaron Williams,0,1,0.0,38,374.155,2006-07
1502,Adonal Foyle,0,0,0.0,48,475.0133333333333,2006-07
1733,Al Harrington,73,175,0.417,42,1354.98,2006-07
2744,Al Jefferson,0,1,0.0,69,2319.0133333333333,2006-07
673,Alan Henderson,0,0,0.0,38,417.68833333333333,2006-07
297,Alonzo Mourning,0,0,0.0,77,1571.6366666666668,2006-07
2405,Amar'e Stoudemire,0,3,0.0,82,2689.005,2006-07
2760,Anderson Varejao,0,9,0.0,81,1932.345,2006-07
2601,Andreas Glyniadakis,0,0,0.0,13,80.55833333333334,2006-07
101106,Andrew Bogut,1,5,0.2,66,2258.03,2006-07
101115,Andrew Bynum,0,3,0.0,82,1793.4216666666666,2006-07
2740,Andris Biedrins,0,0,0.0,82,2382.1,2006-07
1112,Ben Wallace,1,5,0.2,77,2696.6483333333335,2006-07
1802,Brad Miller,5,33,0.152,63,1783.3,2006-07
2217,Brendan Haywood,0,0,0.0,77,1739.9,2006-07
2243,Brian Scalabrine,44,110,0.4,54,1026.6233333333332,2006-07
1730,Brian Skinner,0,0,0.0,67,1522.605,2006-07
1916,Calvin Booth,1,2,0.5,44,379.57666666666665,2006-07
2430,Carlos Boozer,0,0,0.0,74,2556.741666666667,2006-07
2549,Chris Kaman,0,1,0.0,75,2175.8083333333334,2006-07
185,Chris Webber,2,6,0.333,43,1276.7266666666667,2006-07
361,Clifford Robinson,25,66,0.379,50,955.2866666666666,2006-07
2788,DJ Mbenga,0,0,0.0,21,78.585,2006-07
905,Dale Davis,0,0,0.0,46,464.0966666666667,2006-07
2429,Dan Gadzuric,0,1,0.0,54,840.2816666666666,2006-07
1504,Danny Fortson,0,1,0.0,14,158.03833333333333,2006-07
2545,Darko Milicic,0,1,0.0,80,1913.0516666666667,2006-07
2758,David Harrison,0,0,0.0,24,190.06,2006-07
2205,DeSagana Diop,0,1,0.0,81,1479.7633333333333,2006-07
87,Dikembe Mutombo,0,0,0.0,75,1288.7616666666668,2006-07
2400,Drew Gooden,1,6,0.167,80,2237.9583333333335,2006-07
101204,Dwayne Jones,0,0,0.0,4,18.285,2006-07
2730,Dwight Howard,1,2,0.5,82,3023.42,2006-07
2853,Earl Barron,0,1,0.0,28,202.61166666666668,2006-07
2201,Eddy Curry,1,1,1.0,81,2848.595,2006-07
2731,Emeka Okafor,0,0,0.0,67,2328.891666666667,2006-07
956,Erick Dampier,0,0,0.0,76,1915.3366666666666,2006-07
101212,Esteban Batista,0,0,0.0,13,81.21333333333334,2006-07
2041,Etan Thomas,0,0,0.0,65,1245.6866666666667,2006-07
101177,Fabricio Oberto,0,0,0.0,79,1365.01,2006-07
1922,Francisco Elson,0,2,0.0,70,1332.7066666666667,2006-07
200756,Hilton Armstrong,0,0,0.0,56,634.2066666666667,2006-07
2866,Jackie Butler,0,0,0.0,11,102.95833333333333,2006-07
2054,Jake Tsakalidis,0,0,0.0,36,389.47,2006-07
2063,Jake Voskuhl,0,0,0.0,73,1043.19,2006-07
2048,Jamaal Magloire,0,0,0.0,81,1703.2616666666668,2006-07
2441,Jamal Sampson,0,1,0.0,22,124.52,2006-07
2591,James Lang,0,0,0.0,11,54.61833333333333,2006-07
2876,Jared Reiner,0,0,0.0,27,243.49666666666667,2006-07
2260,Jarron Collins,0,0,0.0,82,913.28,2006-07
2215,Jason Collins,0,2,0.0,80,1843.725,2006-07
1902,Jeff Foster,0,1,0.0,75,1739.7533333333333,2006-07
979,Jermaine O'Neal,0,7,0.0,69,2458.7933333333335,2006-07
1744,Jerome James,0,0,0.0,41,272.96,2006-07
2038,Joel Przybilla,0,0,0.0,43,700.68,2006-07
101130,Johan Petro,0,0,0.0,81,1510.0133333333333,2006-07
200767,Josh Boone,0,0,0.0,61,668.6683333333333,2006-07
1509,Kelvin Cato,0,0,0.0,18,95.415,2006-07
2570,Kendrick Perkins,0,3,0.0,72,1576.3583333333333,2006-07
788,Kevin Willis,0,0,0.0,5,42.6,2006-07
703,Kurt Thomas,0,1,0.0,67,1208.42,2006-07
2198,Kwame Brown,0,1,0.0,41,1131.5366666666666,2006-07
200746,LaMarcus Aldridge,0,2,0.0,63,1391.7566666666667,2006-07
953,Lorenzen Wright,0,0,0.0,67,1035.4533333333334,2006-07
101195,Luke Schenscher,0,0,0.0,11,118.03,2006-07
948,Marcus Camby,0,2,0.0,70,2368.835,2006-07
1548,Mark Blount,9,31,0.29,82,2544.3166666666666,2006-07
2058,Mark Madsen,0,0,0.0,56,473.315,2006-07
1508,Maurice Taylor,0,0,0.0,12,103.26333333333334,2006-07
2246,Mehmet Okur,129,336,0.384,80,2664.4466666666667,2006-07
2408,Melvin Ely,0,0,0.0,30,308.7,2006-07
1720,Michael Doleac,0,1,0.0,56,698.355,2006-07
1709,Michael Olowokandi,0,0,0.0,24,233.59166666666667,2006-07
1913,Michael Ruffin,0,0,0.0,30,270.49833333333333,2006-07
1630,Mikki Moore,0,1,0.0,79,2081.5216666666665,2006-07
101148,Mile Ilic,0,0,0.0,5,5.87,2006-07
200754,Mouhamed Sene,0,0,0.0,28,169.45333333333335,2006-07
1737,Nazr Mohammed,0,0,0.0,51,773.3783333333333,2006-07
2420,Nenad Krstic,0,1,0.0,26,848.3916666666667,2006-07
2403,Nene,0,1,0.0,64,1715.015,2006-07
2555,Nick Collison,0,2,0.0,82,2378.14,2006-07
970,Othella Harrington,0,0,0.0,26,220.29333333333332,2006-07
136,P.J. Brown,0,2,0.0,72,1455.8366666666666,2006-07
2469,Pat Burke,6,22,0.273,23,163.85666666666665,2006-07
200753,Patrick O'Bryant,0,0,0.0,16,118.75,2006-07
2200,Pau Gasol,3,11,0.273,59,2132.508333333333,2006-07
200781,Paul Davis,0,0,0.0,31,179.83166666666668,2006-07
2056,Primoz Brezec,1,3,0.333,58,838.3616666666667,2006-07
2737,Rafael Araujo,0,0,0.0,28,247.49333333333334,2006-07
201043,Randolph Morris,0,0,0.0,5,43.65,2006-07
739,Rasheed Wallace,104,296,0.351,75,2418.9533333333334,2006-07
1725,Rasho Nesterovic,0,1,0.0,80,1676.295,2006-07
109,Robert Horry,50,149,0.336,68,1124.055,2006-07
200797,Ryan Hollins,0,0,0.0,27,185.265,2006-07
2223,Samuel Dalembert,0,2,0.0,82,2534.6633333333334,2006-07
1513,Scot Pollard,0,0,0.0,24,108.76333333333334,2006-07
1752,Sean Marks,0,1,0.0,3,17.2,2006-07
101118,Sean May,2,3,0.667,35,837.98,2006-07
406,Shaquille O'Neal,0,0,0.0,40,1134.5833333333333,2006-07
949,Shareef Abdur-Rahim,3,20,0.15,80,2014.6666666666667,2006-07
2031,Stromile Swift,0,5,0.0,54,1029.2333333333333,2006-07
689,Theo Ratliff,0,0,0.0,2,43.68333333333333,2006-07
1495,Tim Duncan,1,9,0.111,80,2725.9333333333334,2006-07
2211,Troy Murphy,36,88,0.409,42,1184.705,2006-07
2199,Tyson Chandler,0,1,0.0,73,2525.1366666666668,2006-07
958,Vitaly Potapenko,0,0,0.0,3,12.883333333333333,2006-07
2397,Yao Ming,0,2,0.0,48,1623.72,2006-07
2585,Zaza Pachulia,0,1,0.0,72,2025.445,2006-07
980,Zydrunas Ilgauskas,0,1,0.0,78,2129.7233333333334,2006-07
201189,Aaron Gray,0,1,0.0,61,612.9966666666667,2007-08
1425,Aaron Williams,0,0,0.0,30,296.9583333333333,2007-08
1502,Adonal Foyle,0,0,0.0,82,773.7616666666667,2007-08
1733,Al Harrington,153,408,0.375,81,2190.3016666666667,2007-08
201143,Al Horford,0,5,0.0,81,2539.8866666666668,2007-08
2744,Al Jefferson,0,5,0.0,82,2918.7683333333334,2007-08
297,Alonzo Mourning,0,0,0.0,25,389.39666666666665,2007-08
2405,Amar'e Stoudemire,5,31,0.161,79,2676.7916666666665,2007-08
2760,Anderson Varejao,0,2,0.0,48,1319.4466666666667,2007-08
200745,Andrea Bargnani,90,261,0.345,78,1861.1183333333333,2007-08
101106,Andrew Bogut,0,7,0.0,78,2720.0333333333333,2007-08
101115,Andrew Bynum,0,0,0.0,35,1008.25,2007-08
2740,Andris Biedrins,0,0,0.0,76,2078.345,2007-08
1112,Ben Wallace,0,4,0.0,72,2204.983333333333,2007-08
2564,Boris Diaw,13,41,0.317,82,2307.575,2007-08
1802,Brad Miller,28,90,0.311,72,2512.5383333333334,2007-08
2217,Brendan Haywood,0,0,0.0,80,2227.7733333333335,2007-08
2243,Brian Scalabrine,15,46,0.326,48,512.0183333333333,2007-08
1730,Brian Skinner,2,3,0.667,66,843.975,2007-08
1916,Calvin Booth,0,0,0.0,31,203.95666666666668,2007-08
101112,Channing Frye,3,10,0.3,78,1341.96,2007-08
200798,Cheikh Samb,0,0,0.0,4,31.326666666666668,2007-08
2365,Chris Andersen,0,0,0.0,5,34.153333333333336,2007-08
2549,Chris Kaman,0,4,0.0,56,2082.69,2007-08
2036,Chris Mihm,0,0,0.0,23,278.11833333333334,2007-08
185,Chris Webber,0,0,0.0,9,125.835,2007-08
201235,Courtney Sims,0,0,0.0,3,11.133333333333333,2007-08
200783,Craig Smith,0,9,0.0,77,1546.545,2007-08
2788,DJ Mbenga,0,0,0.0,42,325.64166666666665,2007-08
2429,Dan Gadzuric,0,1,0.0,51,533.9633333333334,2007-08
2545,Darko Milicic,0,1,0.0,70,1663.2033333333334,2007-08
201208,Darryl Watkins,0,0,0.0,9,71.27333333333333,2007-08
2758,David Harrison,0,0,0.0,55,702.2616666666667,2007-08
2205,DeSagana Diop,0,0,0.0,79,1295.535,2007-08
87,Dikembe Mutombo,0,0,0.0,39,619.045,2007-08
101204,Dwayne Jones,0,1,0.0,56,472.45666666666665,2007-08
2730,Dwight Howard,0,4,0.0,82,3087.7266666666665,2007-08
2853,Earl Barron,1,13,0.077,46,889.1016666666667,2007-08
2201,Eddy Curry,0,0,0.0,59,1530.16,2007-08
2731,Emeka Okafor,0,0,0.0,82,2718.1183333333333,2007-08
956,Erick Dampier,0,0,0.0,72,1754.985,2007-08
101177,Fabricio Oberto,0,1,0.0,82,1643.68,2007-08
1922,Francisco Elson,0,1,0.0,63,813.4616666666667,2007-08
200756,Hilton Armstrong,0,0,0.0,65,732.2533333333333,2007-08
101133,Ian Mahinmi,0,0,0.0,6,22.553333333333335,2007-08
2063,Jake Voskuhl,0,0,0.0,44,385.895,2007-08
2048,Jamaal Magloire,0,0,0.0,31,285.80333333333334,2007-08
2260,Jarron Collins,0,1,0.0,70,702.3433333333334,2007-08
