SEASON,TEAM_ID,TEAM_NAME,GP,W,L,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,TOV,OFF_RATING,DEF_RATING,NET_RATING,PACE,EFG_PCT,TS_PCT
2015-16,1610612760,Oklahoma City Thunder,82,55,27,110.2,41.1,86.4,0.476,8.3,23.7,0.349,19.7,25.2,15.9,112.1,104.8,7.4,97.54,0.524,0.565
2015-16,1610612753,Orlando Magic,82,35,47,102.1,39.5,86.8,0.455,7.8,22.2,0.35,15.2,20.1,14.1,104.4,106.0,-1.6,96.68,0.5,0.533
2015-16,1610612755,Philadelphia 76ers,82,10,72,97.4,36.2,84.0,0.431,9.3,27.5,0.339,15.7,22.6,16.4,98.4,108.6,-10.2,98.44,0.487,0.519
2015-16,1610612756,Phoenix Suns,82,23,59,100.9,37.2,85.6,0.435,9.0,25.8,0.348,17.5,23.2,17.2,101.5,107.9,-6.5,99.39,0.487,0.526
2015-16,1610612757,Portland Trail Blazers,82,44,38,105.1,38.6,85.9,0.45,10.5,28.5,0.37,17.4,23.0,14.6,107.6,106.8,0.8,97.06,0.511,0.548
2015-16,1610612758,Sacramento Kings,82,33,49,106.6,40.0,86.4,0.464,8.0,22.4,0.359,18.5,25.5,16.2,105.3,107.6,-2.3,100.66,0.51,0.546
2015-16,1610612759,San Antonio Spurs,82,67,15,103.5,40.1,82.9,0.484,7.0,18.5,0.375,16.4,20.4,13.1,109.3,98.2,11.1,94.54,0.526,0.564
2015-16,1610612761,Toronto Raptors,82,56,26,102.7,36.7,81.3,0.451,8.6,23.4,0.37,20.8,26.7,13.1,109.3,104.8,4.4,93.35,0.504,0.552
2015-16,1610612762,Utah Jazz,82,40,42,97.7,36.1,80.4,0.449,8.5,23.9,0.355,17.1,23.0,14.9,105.0,103.2,1.8,91.66,0.501,0.54
2015-16,1610612764,Washington Wizards,82,41,41,104.1,39.5,85.8,0.46,8.6,24.2,0.358,16.5,22.5,14.5,104.5,105.1,-0.5,99.16,0.511,0.544
2016-17,1610612737,Atlanta Hawks,82,43,39,103.2,38.1,84.4,0.451,8.9,26.1,0.341,18.1,24.9,15.8,104.5,105.2,-0.7,97.76,0.504,0.541
2016-17,1610612738,Boston Celtics,82,53,29,108.0,38.6,85.1,0.454,12.0,33.4,0.359,18.7,23.2,13.3,110.6,108.0,2.6,97.21,0.525,0.567
2016-17,1610612751,Brooklyn Nets,82,20,62,105.8,37.8,85.2,0.444,10.7,31.6,0.338,19.4,24.6,16.5,103.6,110.1,-6.5,101.75,0.507,0.551
2016-17,1610612766,Charlotte Hornets,82,36,46,104.9,37.7,85.4,0.442,10.0,28.6,0.351,19.4,23.8,11.5,108.4,108.4,0.0,95.92,0.501,0.547
2016-17,1610612741,Chicago Bulls,82,41,41,102.9,38.6,87.1,0.444,7.6,22.3,0.34,18.0,22.5,13.6,106.5,106.2,0.3,96.02,0.487,0.53
2016-17,1610612739,Cleveland Cavaliers,82,51,31,110.3,39.9,84.9,0.47,13.0,33.9,0.384,17.5,23.3,13.7,112.8,109.7,3.1,96.74,0.547,0.58
2016-17,1610612742,Dallas Mavericks,82,33,49,97.9,36.2,82.3,0.44,10.7,30.2,0.355,14.8,18.5,11.9,104.7,107.7,-3.0,93.11,0.505,0.541
2016-17,1610612743,Denver Nuggets,82,40,42,111.7,41.2,87.7,0.469,10.6,28.8,0.368,18.7,24.2,15.0,112.2,111.7,0.4,99.18,0.53,0.568
2016-17,1610612765,Detroit Pistons,82,37,45,101.3,39.9,88.8,0.449,7.7,23.4,0.33,13.9,19.3,11.9,105.3,106.7,-1.4,95.52,0.492,0.521
2016-17,1610612744,Golden State Warriors,82,67,15,115.9,43.1,87.1,0.495,12.0,31.2,0.383,17.8,22.6,14.8,114.8,103.4,11.4,100.37,0.563,0.597
2016-17,1610612745,Houston Rockets,82,55,27,115.3,40.3,87.2,0.462,14.4,40.3,0.357,20.3,26.5,15.1,114.1,108.4,5.7,100.55,0.545,0.583
2016-17,1610612754,Indiana Pacers,82,42,40,105.1,39.3,84.5,0.465,8.6,23.0,0.376,17.9,22.1,13.8,107.9,108.1,-0.2,96.59,0.516,0.558
2016-17,1610612746,LA Clippers,82,51,31,108.7,39.5,83.2,0.475,10.3,27.4,0.375,19.3,26.0,13.0,111.8,107.5,4.4,96.77,0.537,0.574
2016-17,1610612747,Los Angeles Lakers,82,26,56,104.6,39.3,87.4,0.45,8.9,25.7,0.346,17.0,22.6,15.2,105.3,112.0,-6.7,99.26,0.501,0.537
2016-17,1610612763,Memphis Grizzlies,82,43,39,100.5,36.4,83.6,0.435,9.4,26.5,0.354,18.3,23.4,12.9,107.0,106.5,0.5,92.84,0.491,0.535
2016-17,1610612748,Miami Heat,82,41,41,103.2,39.0,85.8,0.455,9.9,27.0,0.365,15.2,21.6,13.4,107.4,106.4,1.0,95.51,0.512,0.541
2016-17,1610612749,Milwaukee Bucks,82,42,40,103.6,38.8,81.9,0.474,8.8,23.7,0.37,17.2,22.4,14.0,108.5,108.7,-0.2,94.99,0.527,0.565
2016-17,1610612750,Minnesota Timberwolves,82,31,51,105.6,39.5,84.4,0.467,7.3,21.0,0.349,19.3,24.2,14.0,110.0,110.9,-0.9,95.48,0.511,0.555
2016-17,1610612740,New Orleans Pelicans,82,34,48,104.3,39.1,87.0,0.45,9.4,26.8,0.35,16.7,22.3,12.9,104.7,106.8,-2.1,98.56,0.504,0.539
2016-17,1610612752,New York Knicks,82,31,51,104.3,39.6,88.5,0.447,8.6,24.7,0.348,16.6,21.1,13.9,107.1,110.7,-3.6,96.63,0.496,0.534
2016-17,1610612760,Oklahoma City Thunder,82,47,35,106.6,39.5,87.4,0.452,8.4,25.8,0.327,19.2,25.8,15.0,107.9,107.1,0.8,98.18,0.5,0.54
2016-17,1610612753,Orlando Magic,82,29,53,101.1,38.3,87.0,0.44,8.5,26.1,0.328,16.0,21.4,13.3,103.7,110.3,-6.5,96.9,0.489,0.524
2016-17,1610612755,Philadelphia 76ers,82,28,54,102.4,37.7,85.3,0.442,10.1,29.8,0.34,17.0,22.0,16.7,102.7,108.2,-5.5,99.07,0.501,0.539
2016-17,1610612756,Phoenix Suns,82,24,58,107.7,39.9,88.5,0.45,7.5,22.6,0.332,20.4,26.3,15.4,106.1,111.3,-5.2,100.85,0.493,0.538
2016-17,1610612757,Portland Trail Blazers,82,41,41,107.9,39.5,86.1,0.459,10.4,27.7,0.375,18.5,23.7,13.7,109.4,110.0,-0.6,97.38,0.52,0.559
2016-17,1610612758,Sacramento Kings,82,32,50,102.8,37.9,82.1,0.461,9.0,23.9,0.376,18.1,23.3,14.6,106.6,110.8,-4.2,95.42,0.516,0.556
